表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),PublicPoolId,待分配营销员时所在的分配池编号 ,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),geo,地理坐标,geography,,,,,,,,,,,,,,,,,,
TB_ComAddtionInfo(附加信息),ComId,企业ID,int,,,,,,,,,,,,,,,,,,
TB_ComAddtionInfo(附加信息),Weixin,企业微信号,nvarchar,,,,,,,,,,,,,,,,,,
TB_ComAddtionInfo(附加信息),Shop,网店地址,varchar,,,,,,,,,,,,,,,,,,
TB_ComAddtionInfo(附加信息),HasNewLogo,是否有新图标  0没有  1有,bit,,,,,,,,,,,,,,,,,,
TB_ComAddtionInfo(附加信息),HasWeixinQrcode,是否有微信二维码,bit,,,,,,,,,,,,,,,,,,
TB_ComComment(企业评价),CommentId,评价ID,int,,,,,,,,,,,,,,,,,,
TB_ComComment(企业评价),CommentResult,评价结果,int,好评：1 中评：0 差评：-1,,,,,,,,,,,,,,,,,
TB_ComComment(企业评价),ComId,企业ID,int,,,,,,,,,,,,,,,,,,
TB_ComComment(企业评价),PersonId,评价人ID,int,,,,,,,,,,,,,,,,,,
TB_ComComment(企业评价),PersonAccount,评价人账号,nvarchar,,,,,,,,,,,,,,,,,,
TB_ComComment(企业评价),CommentInfo,评价内容,nvarchar,,,,,,,,,,,,,,,,,,
